well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth
W0035,L19,240218.3263,119563.7319,803.6615
W0036,L17,240367.9067,120356.4342,709.652
W0037,L19,239716.8405,119720.251,778.1555
W0038,L18,239523.9339,118924.887,718.4855
W0039,L19,239829.0504,120517.1983,789.5045
W0040,L17,240086.681,120741.7738,647.642
W0041,L19,240354.3095,121485.088,756.1595
W0042,L19,239454.6477,119776.5865,749.6075
W0043,L19,239648.4199,120574.4286,749.198
W0044,L19,239915.0394,120996.7042,786.5795
W0045,L19,240335.5598,121427.9705,822.6155
W0046,L19,240243.3131,120517.9376,804.773
W0047,L19,240118.1102,119063.5181,751.1285
W0047,L18,240118.1102,119063.5181,751.1285
W0048,L19,240353.1173,119991.1869,817.7015
W0049,L19,240390.1831,121068.2655,824.546
W0050,L19,239405.2707,120376.8802,774.4115
W0050,L18,239405.2707,120376.8802,774.4115
W0051,L19,239621.7318,120720.6295,797.8115
W0052,L18,239447.7339,120237.3234,711.641
W0053,L19,239912.2914,121451.1716,784.883
W0054,L19,240601.341,119076.5209,772.1885
W0055,L19,240126.8776,118511.8568,768.737
W0056,L19,239417.8,118452.0468,773.885
W0057,L19,239837.2192,119129.4361,788.8025
W0058,L19,239043.4305,119214.5988,765.695
W0059,L19,239201.1747,120229.1632,762.419
W0060,L19,239422.0766,121154.564,765.1685
W0061,L19,240405.8944,121998.0322,775.4645
W0062,L18,239646.2494,119741.8913,664.7825
W0063,L18,239700.0678,120287.2105,671.1005
W0064,L18,239800.6723,120747.0633,713.9225
W0065,L17,240087.5507,119601.0489,635.2985
W0066,L19,240094.9295,119855.9328,750.368
W0067,L17,239913.9439,120144.3245,632.666
W0068,L17,239671.5178,120714.4165,696.314
W0069,L19,240519.4793,119252.0272,767.684
W0069,L18,240519.4793,119252.0272,767.684
W0070,L19,240618.7386,119665.5629,820.5095
W0071,L19,240746.3755,120254.1746,822.3815
W0072,L19,240687.0943,120676.4903,795.881
W0073,L19,239998.1837,118558.7492,763.472
W0073,L18,239998.1837,118558.7492,763.472
W0074,L19,239543.4021,120011.8456,798.806
